Cycle No,Residual Capacity or SOH (Actual),Residual Capacity or SOH(Predicted),Error,%error,max. error(percentage),average error(percentage),prediction formula
337,98.92,98.69030593,0.229694069,0.232201849,,,
338,98.91,98.68285014,0.227149864,0.229653082,,,
339,98.9,98.67536198,0.224638019,0.227136521,,,
340,98.87,98.6678416,0.202158402,0.204468901,,,
341,98.83,98.66028912,0.169710879,0.171720003,,,
342,98.82,98.65270468,0.167295317,0.169292974,,,
343,98.82,98.64508842,0.174911581,0.177000183,,,
344,98.82,98.63744046,0.182559539,0.184739465,,,
345,98.8,98.62976094,0.170239056,0.172306737,,,
346,98.8,98.62205,0.177949998,0.180111334,,,
347,98.8,98.61430777,0.185692232,0.187947603,,,
348,98.77,98.60653438,0.163465622,0.165501288,,,
349,98.77,98.59872996,0.171270036,0.173402891,,,
350,98.75,98.59089466,0.159105337,0.161119328,,,
351,98.74,98.58302861,0.156971391,0.158974469,,,
352,98.73,98.57513194,0.154868064,0.156860189,,,
353,98.72,98.56720478,0.152795222,0.154776359,,,
354,98.72,98.55924727,0.160752728,0.162837042,,,
355,98.71,98.55125955,0.158740449,0.160814962,,,
356,98.7,98.54324175,0.156758248,0.158822946,,,
357,98.69,98.53519401,0.154805991,0.156860869,,,
358,98.69,98.52711646,0.162883543,0.165045641,,,
359,98.67,98.51900923,0.150990768,0.153026014,,,
360,98.67,98.51087247,0.159127532,0.161272455,,,
361,98.66,98.5027063,0.157293697,0.15943006,,,
362,98.66,98.49451087,0.165489129,0.167736803,,,
363,98.63,98.48628631,0.143713693,0.145709919,,,
364,98.61,98.47803275,0.131967252,0.133827454,,,
365,98.59,98.46975033,0.120249671,0.121969441,,,
366,98.58,98.46143919,0.118560815,0.120268629,,,
367,98.57,98.45309945,0.116900546,0.118596476,,,
368,98.57,98.44473127,0.12526873,0.127086061,,,
369,98.56,98.43633477,0.12366523,0.125472028,,,
370,98.55,98.42791009,0.122089911,0.123886262,,,
371,98.51,98.41945736,0.090542637,0.091912127,,,
372,98.5,98.41097673,0.08902327,0.090378955,,,
373,98.49,98.40246832,0.087531677,0.088873669,,,
374,98.48,98.39393228,0.086067719,0.08739614,,,
375,98.47,98.38536874,0.084631262,0.085946239,,,
376,98.47,98.37677783,0.093222168,0.094670629,,,
377,98.43,98.3681597,0.061840303,0.062826682,,,
378,98.43,98.35951447,0.070485529,0.071609803,,,
379,98.4,98.35084229,0.049157711,0.049957023,,,
380,98.39,98.34214329,0.047856712,0.048639813,,,
381,98.36,98.3334176,0.026582396,0.027025616,,,
382,98.36,98.32466537,0.035334626,0.035923776,,,
383,98.36,98.31588673,0.044113268,0.044848788,,,
384,98.35,98.30708182,0.042918184,0.043638215,,,
385,98.34,98.29825076,0.041749238,0.042453974,,,
386,98.33,98.28939371,0.040606295,0.041295937,,,
387,98.32,98.28051078,0.039489217,0.040163972,,,
388,98.32,98.27160213,0.048397869,0.049224846,,,
389,98.31,98.26266789,0.047332114,0.048145778,,,
390,98.28,98.25370818,0.026291818,0.026751951,,,
391,98.28,98.24472316,0.035276842,0.035894223,,,
392,98.26,98.23571295,0.024287052,0.02471713,,,
393,98.26,98.22667769,0.033322311,0.033912386,,,
394,98.26,98.21761752,0.042382483,0.043132997,,,
395,98.24,98.20853257,0.031467433,0.032031182,,,
396,98.24,98.19942298,0.040577024,0.041303974,,,
397,98.22,98.19028888,0.029711121,0.030249563,,,
398,98.22,98.18113041,0.038869587,0.039574004,,,
399,98.21,98.17194771,0.038052287,0.038745838,,,
400,98.2,98.16274091,0.037259086,0.037942042,,,
401,98.2,98.15351015,0.046489847,0.047342003,,,
402,98.19,98.14425557,0.045744434,0.046587671,,,
403,98.19,98.13497729,0.055022714,0.056036983,,,
404,98.15,98.12567545,0.024324549,0.024783035,,,
405,98.14,98.1163502,0.023649804,0.024098027,,,
406,98.13,98.10700166,0.022998344,0.023436609,,,
407,98.11,98.09762997,0.012370035,0.012608332,,,
408,98.09,98.08823526,0.001764739,0.001799102,,,
409,98.08,98.07881768,0.001182323,0.001205468,,,
410,98.06,98.06937735,0.009377348,0.009562868,,,
411,98.05,98.05991441,0.00991441,0.010111586,,,
412,98.04,98.050429,0.010428998,0.010637493,,,
413,98.02,98.04092125,0.020921246,0.021343854,,,
414,97.98,98.03139129,0.051391289,0.052450795,,,
415,97.98,98.02183926,0.041839261,0.042701839,,,
416,97.98,98.0122653,0.032265298,0.032930494,,,
417,97.97,98.00266953,0.032669534,0.033346467,,,
418,97.96,97.9930521,0.033052102,0.033740406,,,
419,97.96,97.98341314,0.023413137,0.023900712,,,
420,97.95,97.97375277,0.023752774,0.024249897,,,
421,97.92,97.96407115,0.044071145,0.045007297,,,
422,97.92,97.95436839,0.034368386,0.035098434,,,
423,97.92,97.94464463,0.02464463,0.025168127,,,
424,97.91,97.93490001,0.02490001,0.025431529,,,
425,97.88,97.92513466,0.04513466,0.04611224,,,
426,97.87,97.91534871,0.045348714,0.046335664,,,
427,97.86,97.9055423,0.045542304,0.046538222,,,
428,97.86,97.89571556,0.035715565,0.036496592,,,
429,97.85,97.88586863,0.035868628,0.036656748,,,
430,97.84,97.87600163,0.036001627,0.03679643,,,
